Date,Value
2019-12-20,120
2019-12-21,146
2019-12-22,196
2019-12-23,159
2019-12-24,131
2019-12-25,82
2019-12-26,112
2019-12-27,144
2019-12-28,139
2019-12-29,110
2019-12-30,125
2019-12-31,92
