Date,Value
2019-01-01,110
2019-01-02,110
2019-01-03,110
2019-01-04,110
2019-01-05,110
2019-01-06,110
2019-01-07,110
2019-01-08,110
2019-02-01,210
2019-02-02,210
2019-02-03,210
2019-02-04,210
2019-02-05,210
2019-02-06,210
2019-02-07,210
2019-02-08,210
2019-04-05,210
2019-05-01,210
2019-06-07,210
2019-09-13,210
2019-10-01,210
2019-10-02,210
2019-10-03,210
2019-10-04,210
2019-10-07,210
2019-12-25,210


